0.000001	0.655800	1.000000	1.000000
0.001965	0.655800	1.000000	1.000000
0.007759	0.655800	1.000000	1.000000
0.017089	0.655800	1.000000	1.000000
0.029507	0.655800	1.000000	1.000000
0.044462	0.655800	1.000000	1.000000
0.061357	0.655800	1.000000	1.000000
0.079596	0.655800	1.000000	1.000000
0.098629	0.655800	1.000000	1.000000
0.117978	0.655800	1.000000	1.000000
0.137246	0.655800	1.000000	1.000000
0.156125	0.655800	1.000000	1.000000
0.174387	0.655800	1.000000	1.000000
0.191873	0.655800	1.000000	1.000000
0.208487	0.655800	1.000000	1.000000
0.224175	0.655800	1.000000	1.000000
0.238923	0.655800	1.000000	1.000000
0.252742	0.655800	1.000000	1.000000
0.265661	0.655800	1.000000	1.000000
0.277722	0.655800	1.000000	1.000000
0.288974	0.655800	1.000000	1.000000
0.299472	0.655800	1.000000	1.000000
0.309269	0.655800	1.000000	1.000000
0.318421	0.655800	1.000000	1.000000
0.326980	0.655800	1.000000	1.000000
0.334996	0.655800	1.000000	1.000000
0.342517	0.655800	1.000000	1.000000
0.349587	0.655799	1.000000	1.000000
0.356247	0.655799	1.000000	1.000000
0.362535	0.655799	1.000000	1.000000
0.368486	0.655798	1.000000	1.000000
0.374131	0.655798	1.000000	1.000000
0.379500	0.655798	1.000000	1.000000
0.384619	0.655797	1.000000	1.000000
0.389513	0.655796	1.000000	1.000000
0.394203	0.655796	1.000000	1.000000
0.398711	0.655795	1.000000	1.000000
0.403053	0.655794	1.000000	1.000000
0.407248	0.655793	1.000000	1.000000
0.411310	0.655792	1.000000	1.000000
0.415254	0.655791	1.000000	1.000000
0.419092	0.655789	1.000000	1.000000
0.422837	0.655788	1.000000	1.000000
0.426499	0.655787	1.000000	1.000000
0.430088	0.655785	1.000000	1.000000
0.433613	0.655783	1.000000	1.000000
0.437083	0.655781	1.000000	1.000000
0.440506	0.655779	1.000000	1.000000
0.443888	0.655777	1.000000	1.000000
0.447238	0.655774	1.000000	1.000000
0.450560	0.655772	1.000000	1.000000
0.453860	0.655769	1.000000	1.000000
0.457145	0.655766	1.000000	1.000000
0.460419	0.655762	1.000000	1.000000
0.463687	0.655759	1.000000	1.000000
0.466954	0.655755	1.000000	1.000000
0.470223	0.655750	1.000000	1.000000
0.473499	0.655746	1.000000	1.000000
0.476786	0.655740	1.000000	1.000000
0.480086	0.655735	1.000000	1.000000
0.483405	0.655729	1.000000	1.000000
0.486744	0.655722	1.000000	1.000000
0.490107	0.655715	1.000000	1.000000
0.493497	0.655708	1.000000	1.000000
0.496917	0.655699	1.000000	1.000000
0.500370	0.655690	1.000000	1.000000
0.503859	0.655680	1.000000	1.000000
0.507385	0.655669	1.000000	1.000000
0.510953	0.655658	1.000000	1.000000
0.514564	0.655645	1.000000	1.000000
0.518220	0.655631	1.000000	1.000000
0.521925	0.655615	1.000000	1.000000
0.525681	0.655599	1.000000	1.000000
0.529489	0.655580	1.000000	1.000000
0.533354	0.655560	1.000000	1.000000
0.537275	0.655538	1.000000	1.000000
0.541258	0.655514	1.000000	1.000000
0.545302	0.655487	1.000000	1.000000
0.549411	0.655458	1.000000	1.000000
0.553588	0.655426	1.000000	1.000000
0.557834	0.655391	1.000000	1.000000
0.562151	0.655352	1.000000	1.000000
0.566543	0.655310	1.000000	1.000000
0.571012	0.655263	1.000000	1.000000
0.575560	0.655212	1.000000	1.000000
0.580189	0.655155	1.000000	1.000000
0.584902	0.655092	1.000000	1.000000
0.589702	0.655023	1.000000	1.000000
0.594591	0.654947	1.000000	1.000000
0.599571	0.654862	1.000000	1.000000
0.604647	0.654769	1.000000	1.000000
0.609819	0.654666	1.000000	1.000000
0.615091	0.654551	1.000000	1.000000
0.620466	0.654425	1.000000	1.000000
0.625946	0.654284	1.000000	1.000000
0.631536	0.654128	1.000000	1.000000
0.637237	0.653955	1.000000	1.000000
0.643052	0.653763	1.000000	1.000000
0.648986	0.653550	1.000000	1.000000
0.655042	0.653313	1.000000	1.000000
0.661222	0.653048	1.000000	1.000000
0.667530	0.652755	1.000000	1.000000
0.673970	0.652427	1.000000	1.000000
0.680546	0.652063	1.000000	1.000000
0.687261	0.651656	1.000000	1.000000
0.694120	0.651203	1.000000	1.000000
0.701126	0.650697	1.000000	1.000000
0.708283	0.650133	1.000000	1.000000
0.715596	0.649503	1.000000	1.000000
