0.001000	0.985110	0.000000
0.010000	0.013131	0.009513
0.020000	0.026299	0.019076
0.030000	0.039541	0.028738
0.040000	0.052902	0.038550
0.050000	0.066428	0.048565
0.060000	0.080178	0.058838
0.070000	0.094224	0.069423
0.080000	0.108652	0.080377
0.090000	0.123576	0.091749
0.100000	0.139135	0.103582
0.110000	0.155506	0.115894
0.120000	0.172904	0.128665
0.130000	0.191572	0.141813
0.140000	0.211769	0.155172
0.150000	0.233728	0.168479
0.160000	0.257633	0.181378
0.170000	0.283585	0.193419
0.180000	0.311551	0.204067
0.190000	0.337359	0.212801
0.200000	0.368985	0.219438
0.210000	0.401141	0.223097
0.220000	0.433019	0.223952
0.230000	0.464053	0.222435
0.240000	0.493944	0.219038
0.250000	0.522592	0.214204
0.260000	0.550008	0.208285
0.270000	0.576258	0.201550
0.280000	0.601430	0.194197
0.290000	0.625619	0.186374
0.300000	0.648915	0.178193
0.310000	0.671412	0.169732
0.320000	0.693195	0.161046
0.330000	0.714349	0.152160
0.340000	0.734946	0.143070
0.350000	0.753443	0.133983
0.360000	0.772263	0.125226
0.370000	0.790647	0.116678
0.380000	0.808747	0.108374
0.390000	0.826721	0.100294
0.400000	0.844703	0.092376
0.410000	0.862797	0.084526
0.420000	0.881078	0.076631
0.430000	0.899591	0.068556
0.440000	0.918362	0.060126
0.450000	0.937402	0.051078
0.460000	0.956706	0.040914
0.470000	0.976259	0.028351
