0.001000	0.974079	0.000000
0.010000	0.991029	0.000000
0.020000	0.021220	0.020964
0.030000	0.031957	0.031457
0.040000	0.043258	0.043104
0.050000	0.055546	0.055011
0.060000	0.068353	0.067213
0.070000	0.081881	0.079960
0.080000	0.096340	0.093169
0.090000	0.111819	0.106791
0.100000	0.128477	0.120816
0.110000	0.146532	0.135155
0.120000	0.166194	0.149649
0.130000	0.187677	0.164063
0.140000	0.211163	0.178060
0.150000	0.236748	0.191186
0.160000	0.264362	0.202905
0.170000	0.293722	0.212692
0.180000	0.324339	0.220145
0.190000	0.355614	0.225081
0.200000	0.386960	0.227548
0.210000	0.417898	0.227769
0.220000	0.448094	0.226057
0.230000	0.477349	0.222745
0.240000	0.505569	0.218147
0.250000	0.532728	0.212540
0.260000	0.558855	0.206164
0.270000	0.584014	0.199220
0.280000	0.608294	0.191872
0.290000	0.631805	0.184248
0.300000	0.654669	0.176439
0.310000	0.677012	0.168498
0.320000	0.698954	0.160449
0.330000	0.720606	0.152286
0.340000	0.742069	0.143981
0.350000	0.763427	0.135492
0.360000	0.784753	0.126758
0.370000	0.806108	0.117707
0.380000	0.827541	0.108243
0.390000	0.849091	0.098238
0.400000	0.870786	0.087503
0.410000	0.892643	0.075725
0.420000	0.914668	0.062310
0.430000	0.936856	0.045820
0.440000	0.959194	0.019533
0.450000	0.945941	0.000000
0.460000	0.950580	0.000000
0.470000	0.960305	0.000000
