0.001000	0.949482	0.000000
0.010000	0.013112	0.009514
0.020000	0.026260	0.019076
0.030000	0.039482	0.028738
0.040000	0.052822	0.038550
0.050000	0.066326	0.048564
0.060000	0.080052	0.058834
0.070000	0.094072	0.069416
0.080000	0.108472	0.080365
0.090000	0.123363	0.091732
0.100000	0.138887	0.103557
0.110000	0.155217	0.115860
0.120000	0.172567	0.128619
0.130000	0.191181	0.141754
0.140000	0.211312	0.155099
0.150000	0.233193	0.168390
0.160000	0.257004	0.181274
0.170000	0.282837	0.193307
0.180000	0.310660	0.203962
0.190000	0.340234	0.212667
0.200000	0.371059	0.218927
0.210000	0.402431	0.222497
0.220000	0.433637	0.223469
0.230000	0.464135	0.222179
0.240000	0.493614	0.219059
0.250000	0.521947	0.214516
0.260000	0.549123	0.208883
0.270000	0.575190	0.202420
0.280000	0.600219	0.195320
0.290000	0.624291	0.187729
0.300000	0.647482	0.179758
0.310000	0.669867	0.171491
0.320000	0.691509	0.162990
0.330000	0.712468	0.154308
0.340000	0.732798	0.145482
0.350000	0.752544	0.136546
0.360000	0.771749	0.127524
0.370000	0.790451	0.118437
0.380000	0.808683	0.109301
0.390000	0.826473	0.100130
0.400000	0.843844	0.090939
0.410000	0.860819	0.081752
0.420000	0.877438	0.072606
0.430000	0.893791	0.063530
0.440000	0.910040	0.054481
0.450000	0.926381	0.045239
0.460000	0.942979	0.035257
0.470000	0.959934	0.023074
