0.001000	0.822774	0.000000
0.010000	0.010185	0.010181
0.020000	0.020769	0.020739
0.030000	0.031802	0.031690
0.040000	0.043339	0.043054
0.050000	0.055451	0.054847
0.060000	0.068219	0.067081
0.070000	0.081739	0.079764
0.080000	0.096128	0.092892
0.090000	0.111524	0.106444
0.100000	0.128088	0.120374
0.110000	0.146006	0.134593
0.120000	0.165478	0.148957
0.130000	0.186709	0.163241
0.140000	0.209868	0.177119
0.150000	0.235040	0.190166
0.160000	0.262159	0.201884
0.170000	0.290965	0.211779
0.180000	0.321012	0.219472
0.190000	0.351745	0.224778
0.200000	0.382613	0.227728
0.210000	0.413163	0.228519
0.220000	0.443075	0.227436
0.230000	0.472163	0.224790
0.240000	0.500344	0.220869
0.250000	0.527607	0.215918
0.260000	0.553990	0.210134
0.270000	0.579562	0.203665
0.280000	0.604400	0.196611
0.290000	0.628588	0.189029
0.300000	0.652204	0.180937
0.310000	0.675313	0.172316
0.320000	0.697967	0.163110
0.330000	0.720193	0.153218
0.340000	0.741990	0.142484
0.350000	0.763302	0.130668
0.360000	0.783968	0.117379
0.370000	0.803554	0.101930
0.380000	0.820584	0.082962
0.390000	0.827687	0.060593
0.400000	0.827827	0.052322
0.410000	0.835178	0.048876
0.420000	0.845776	0.045306
0.430000	0.858048	0.041117
0.440000	0.871355	0.036069
0.450000	0.885372	0.029769
0.460000	0.899910	0.021183
0.470000	0.917910	0.000000
