0.001000	0.968638	0.000000
0.010000	0.013110	0.009514
0.020000	0.026255	0.019078
0.030000	0.039475	0.028740
0.040000	0.052812	0.038553
0.050000	0.066313	0.048567
0.060000	0.080037	0.058838
0.070000	0.094053	0.069421
0.080000	0.108449	0.080370
0.090000	0.123336	0.091737
0.100000	0.138854	0.103562
0.110000	0.155179	0.115865
0.120000	0.172521	0.128625
0.130000	0.191126	0.141761
0.140000	0.211246	0.155107
0.150000	0.233114	0.168401
0.160000	0.256909	0.181289
0.170000	0.282724	0.193330
0.180000	0.310526	0.203998
0.190000	0.340079	0.212723
0.200000	0.370886	0.219009
0.210000	0.402246	0.222612
0.220000	0.433446	0.223618
0.230000	0.463945	0.222364
0.240000	0.493430	0.219278
0.250000	0.521773	0.214766
0.260000	0.548962	0.209162
0.270000	0.575043	0.202726
0.280000	0.600089	0.195651
0.290000	0.624179	0.188084
0.300000	0.647390	0.180135
0.310000	0.669794	0.171887
0.320000	0.691458	0.163404
0.330000	0.712439	0.154735
0.340000	0.732786	0.145918
0.350000	0.752542	0.136987
0.360000	0.771740	0.127971
0.370000	0.790405	0.118907
0.380000	0.808572	0.109846
0.390000	0.826291	0.100850
0.400000	0.843659	0.091983
0.410000	0.860817	0.083273
0.420000	0.877942	0.074686
0.430000	0.895206	0.066116
0.440000	0.912767	0.057392
0.450000	0.930762	0.048281
0.460000	0.949309	0.038434
0.470000	0.968492	0.027078
